price,name,release,genres,releaseYear
29.99,Super Mario Odyssey,Nintendo Switch,Adventure,2017
39.99,The Witcher 3: Wild Hunt,PC|PlayStation 4|Xbox One,RPG,2015
19.99,Minecraft,PC|PlayStation 4|Xbox One|Nintendo Switch|iOS|Android,Sandbox|Survival,2011
199.99,Call of Duty: Warzone,PC|PlayStation 4|PlayStation 5|Xbox One|Xbox Series X/S|iOS|Android,Action|FPS,2020
59.99,Red Dead Redemption 2,PC|PlayStation 4|Xbox One,Action|Adventure,2018
49.99,Grand Theft Auto V,PC|PlayStation 4|Xbox One|PlayStation 3|Xbox 360,Action|Adventure,2013
49.99,The Legend of Zelda: Breath of the Wild,Nintendo Switch|Wii U,Action-Adventure,2017
29.99,Dark Souls III,PC|PlayStation 4|Xbox One,Action RPG,2016
59.99,Assassin's Creed Valhalla,PC|PlayStation 4|PlayStation 5|Xbox One|Xbox Series X/S,Action-Adventure|RPG,2020
39.99,Fortnite,PC|PlayStation 4|PlayStation 5|Xbox One|Xbox Series X/S|iOS|Android,,2017
39.99,Overwatch,,First-Person Shooter,2016
59.99,Cyberpunk 2077,PC|PlayStation 4|PlayStation 5|Xbox One|Xbox Series X/S,Action|Adventure|RPG,2020
39.99,Super Smash Bros. Ultimate,Nintendo Switch,Fighting,2018
59.99,Final Fantasy VII Remake,PlayStation 4,Action RPG,2020
19.99,Terraria,PC|PlayStation 4|Xbox One|Nintendo Switch|iOS|Android,Sandbox|Survival,2011
59.99,God of War,PlayStation 4,Action-Adventure,2018
49.99,Monster Hunter: World,PC|PlayStation 4|Xbox One,Action RPG,2018
49.99,Marvel's Spider-Man,PlayStation 4,Action-Adventure,2018
59.99,The Elder Scrolls V: Skyrim Special Edition,PC|PlayStation 4|Xbox One,Action RPG,2016
59.99,Horizon Zero Dawn,PlayStation 4,Action-Adventure|RPG,2017
